"(Parent)","(Родитељ)"
"Can not Add A/B Testing.","Не могу додати А / Б тестирање."
"Edit Rule","Измени правило"
"New Related Block Rule","Ново сродно блока"
"Related Block Rules","Правила сродних блокова"
"The wrong rule is specified.","Погрешно правило је специфицирано."
"You saved the rule.","Спашили сте правило."
"Something went wrong while saving the rule data. Please review the error log.","Нешто је пошло наопако при чувању података о правилу. Прегледајте дневник грешака."
"Add to cart button","Додај у корпу дугме"
"Add to Wishlist","Додај у листу жеља"
"Add to Compare","Додај за упоређивање"
"Review information","Прегледајте информације"
"Bestsellers","Најбоље продавани"
"Lowest Price","Најнижа цена"
"Highest Price","Највиша цена"
"Newest","Најновије"
"Random","Рандом"
"Subtotal","Субтотал"
"Total Items Quantity","Укупна количина предмета"
"Total Weight","Укупна маса"
"Quantity in cart","Количина у корпи"
"Price in cart","Цена у корпи"
"Row total in cart","Рута укупно у корпи"
"Conditions Combination","Услови Комбинација"
"Cart Item Attribute","Атрибут артикала на корпи"
"Product Attribute","Атрибут производа"
"FOUND","НАШАО"
"NOT FOUND","НИЈЕ ПРОНАЂЕН"
"If an item is %1 in the cart with %2 of these conditions true:","Ако је артикал %1 у корпи са %2 од ових услова тачно:"
"total quantity","Укупна количина"
"total amount","Укупан износ"
"is","је"
"is not","није"
"equals or greater than","једнака или већа од"
"equals or less than","једнак или мањи од"
"greater than","веће од"
"less than","мање од"
"is one of","је један од"
"is not one of","није један од"
"If %1 %2 %3 for a subselection of items in cart matching %4 of these conditions:","Ако %1 %2 %3 за подизбор предмета у колицима који одговарају %4 од ових услова:"
"Product attribute combination","Комбинација атрибута производа"
"Products subselection","Избор производа"
"Conditions combination","Услови комбинације"
"Cart Attribute","Атрибут корпе"
"Replace native related product block","Замените изворни блок производа"
"Before native related products","Пре природних сродних производа"
"After native related products","После природних сродних производа"
"Replace upsell product block","Замените упселл производни блок"
"Before upsell products","Пре упселл производа"
"After upsell products","Након упселл производа"
"Above Content","Изнад садржаја"
"Below Content","Испод садржаја"
"Custom","Обичај"
"Product Page","Продуцт Паге"
"Category Page","Категорија страница"
"Shopping Cart Page","Кошарица Паге"
"Category","Категорија"
"PREVIEW PRODUCTS","ПРЕГЛЕД ПРОИЗВОДА"
"Statistic","Статистика"
"Total","Укупно"
"Child","Дете"
"Add to Cart","Додај у колица"
"In stock","На лагеру"
"Out of stock","Нема на залихи"
"HIDE PRODUCTS","ХИДЕ ПРОДУЦТС"
"Mageplaza AutoRelated","Магеплаза АутоРелатед"
"Automatic Related Products","Аутоматски повезани производи"
"General Configuration","Општа конфигурација"
"Enable Automatic Related Products","Омогућите аутоматске повезане производе"
"Select Yes to enable this module.","Изаберите Да да бисте омогућили овај модул."
"Start","Почетак"
"End","Крај"
