"(Parent)","(הוֹרֶה)"
"Something went wrong while saving the rule data. Please review the error log.","משהו השתבש בעת שמירת נתוני הכלל. עיין ביומן השגיאות."
"Add to cart button","הוסף לסל"
"Add to Wishlist","הוסף לרשימת משאלות"
"Add to Compare","הוסף להשוואה"
"Review information","עיין במידע"
"Bestsellers","רבי מכר"
"Lowest Price","המחיר הנמוך ביותר"
"Highest Price","המכיר הכי יקר"
"Newest","החדש ביותר"
"Random","אַקרַאִי"
"Subtotal","סיכום ביניים"
"Total Items Quantity","סה""כ כמות פריטים"
"Total Weight","משקל כולל"
"Quantity in cart","כמות בעגלה"
"Price in cart","מחיר בעגלה"
"Row total in cart","סך הכל בעגלה"
"Conditions Combination","תנאים שילוב"
"Cart Item Attribute","תכונה של פריט סל"
"Product Attribute","תכונת מוצר"
"FOUND","מצאתי"
"NOT FOUND","לא נמצא"
"If an item is %1 in the cart with %2 of these conditions true:","אם פריט הוא %1 בעגלה עם %2 תנאים אלה נכון:"
"total quantity","- סך הכל"
"total amount","הכמות הכוללת"
"is","J"
"is not","לא"
"equals or greater than","שווה או גדול מ"
"equals or less than","שווה או פחות מ"
"greater than","גדול מ"
"less than","פחות מ"
"is one of","אחד מ"
"is not one of","הוא לא אחד"
"If %1 %2 %3 for a subselection of items in cart matching %4 of these conditions:","If %1 %2 %3 for a subselection of items in cart matching %4 of these conditions:"
"Product attribute combination","שילוב של תכונות מוצר"
"Products subselection","מוצרים subselection"
"Conditions combination","שילוב תנאים"
"Cart Attribute","תכונת העגלה"
"Replace native related product block","החלף את בלוק המוצרים המקורי"
"Before native related products","לפני מוצרים קשורים"
"After native related products","אחרי מוצרים הקשורים הילידים"
"Replace upsell product block","החלף את המוצר לחסום upell"
"Before upsell products","לפני מוצרים"
"After upsell products","אחרי מוצרים"
"Above Content","מעל תוכן"
"Below Content","מתחת לתוכן"
"Custom","המותאם אישית"
"Product Page","דף מוצר"
"Category Page","דף קטגוריה"
"Shopping Cart Page","עגלת קניות"
"Category","קטגוריה"
"PREVIEW PRODUCTS","מוצרים"
"Statistic","סטטיסטיקה"
"Total","סה""כ"
"Child","יֶלֶד"
"Add to Cart","הוסף לעגלה"
"In stock","במלאי"
"Out of stock","אזל במלאי"
"HIDE PRODUCTS","מוצרי הסתרה"
"Mageplaza AutoRelated","מגאפלאזה"
"Automatic Related Products","מוצרים קשורים"
"General Configuration","תצורה כללית"
"Enable Automatic Related Products","הפעל מוצרים נלווים אוטומטיים"
"Select Yes to enable this module.","בחר כן כדי להפעיל מודול זה."
"Start","הַתחָלָה"
"End","סוֹף"
