"(Parent)","(Родитель)"
"Something went wrong while saving the rule data. Please review the error log.","При сохранении данных правила что-то пошло не так. Просмотрите журнал ошибок."
"Add to cart button","Добавить в корзину"
"Add to Wishlist","Добавить в список желаний"
"Add to Compare","Добавить к сравнению"
"Review information","Обзорная информация"
"Bestsellers","Бестселлеры"
"Lowest Price","Низшая цена"
"Highest Price","Самая высокая цена"
"Newest","новейший"
"Random","случайный"
"Subtotal","Промежуточный итог"
"Total Items Quantity","Количество элементов"
"Total Weight","Общий вес"
"Quantity in cart","Количество в корзине"
"Price in cart","Цена в корзине"
"Row total in cart","Количество строк в корзине"
"Conditions Combination","Комбинация условий"
"Cart Item Attribute","Атрибут корзины"
"Product Attribute","Атрибут продукта"
"FOUND","НАЙДЕННЫЙ"
"NOT FOUND","НЕ НАЙДЕНО"
"If an item is %1 in the cart with %2 of these conditions true:","Если в корзине есть товар %1 с %2 из этих условий:"
"total quantity","Общая численность"
"total amount","Итого"
"is","является"
"is not","не является"
"equals or greater than","равна или больше"
"equals or less than","равна или меньше"
"greater than","больше чем"
"less than","меньше, чем"
"is one of","один из"
"is not one of","не является одним из"
"If %1 %2 %3 for a subselection of items in cart matching %4 of these conditions:","Если %1 %2 %3 для подбора элементов в корзине, соответствующих %4 из следующих условий:"
"Product attribute combination","Комбинация атрибутов продукта"
"Products subselection","Подсекция продуктов"
"Conditions combination","Комбинация условий"
"Cart Attribute","Атрибут корзины"
"Replace native related product block","Заменить нативный родственный блок продукта"
"Before native related products","Перед родственными продуктами"
"After native related products","После родственных продуктов"
"Replace upsell product block","Заменить блок продукта upsell"
"Before upsell products","Перед использованием продуктов upsell"
"After upsell products","После переработки продуктов"
"Above Content","Над контентом"
"Below Content","Ниже содержания"
"Custom","изготовленный на заказ"
"Product Page","Страница продукта"
"Category Page","Страница категории"
"Shopping Cart Page","Страница корзины покупок"
"Category","категория"
"PREVIEW PRODUCTS","ПРОСМОТР ПРОДУКТОВ"
"Statistic","статистика"
"Total","Всего"
"Child","ребенок"
"Add to Cart","добавить в корзину"
"In stock","В наличии"
"Out of stock","Нет на складе"
"HIDE PRODUCTS","ПОКРЫТИЕ"
"Mageplaza AutoRelated","Mageplaza AutoRelated"
"Automatic Related Products","Автоматические сопутствующие товары"
"General Configuration","Общая конфигурация"
"Enable Automatic Related Products","Включить автоматические сопутствующие товары"
"Select Yes to enable this module.","Выберите «Да», чтобы включить этот модуль."
"Start","Начало"
"End","Конец"
