"-- Please Select --","-- Please Select --"
"Code is used to help identify this web-form in scripts.","Code is used to help identify this web-form in scripts."
"Collect Customer IPs","Collect Customer IPs"
"Color","Color"
"Comment","Comment"
"Company","Company"
"Complete","Complete"
"Completed","Completed"
"Condition","Condition"
"Connect to country field to populate the list with region options.","Connect to country field to populate the list with region options."
"Contacts Form","Contacts Form"
"Content is required.","Content is required."
"Convert newline characters in admin reply messages automatically. Useful when you are not using visual editor.","Convert newline characters in admin reply messages automatically. Useful when you are not using visual editor."
"Convert newline characters to &lt;br&gt; html tags when saving message","Convert newline characters to &lt;br&gt; html tags when saving message"
"Could not import field %1: %2","Could not import field %1: %2"
"Could not import fieldset %1: %2","Could not import fieldset %1: %2"
"Could not import form %1: %2","Could not import form %1: %2"
"Could not import logic: %1","Could not import logic: %1"
"Could not import store data for field %1: Store view: %2, Error: %3","Could not import store data for field %1: Store view: %2, Error: %3"
"Could not import store data for fieldset %1: Store view: %2, Error: %3","Could not import store data for fieldset %1: Store view: %2, Error: %3"
"Could not import store data for form %1: Store view: %2, Error: %3","Could not import store data for form %1: Store view: %2, Error: %3"
"Could not import store data for logic %1: Store view: %2, Error: %3","Could not import store data for logic %1: Store view: %2, Error: %3"
"Could not load subject: %1","Could not load subject: %1"
"Country","Country"
"Country 2 symbol code","Country 2 symbol code"
"Country Field","Country Field"
"Created","Created"
"CSS","CSS"
"CSS Classes","CSS Classes"
"CSS Classes for the Container Element","CSS Classes for the Container Element"
"CSS Classes for the Input Element","CSS Classes for the Input Element"
"CSS Style","CSS Style"
"CSV","CSV"
"Custom attachments for customer notification","Custom attachments for customer notification"
"Custom Attributes","Custom Attributes"
"Custom Disabled Dates","Custom Disabled Dates"
"Custom login redirect URL(Key) if user is not authorized","Custom login redirect URL(Key) if user is not authorized"
"Custom Validation Advice","Custom Validation Advice"
"Customer","Customer"
"Customer Access","Customer Access"
"Customer Area WebForms Block Title","Customer Area WebForms Block Title"
"Customer Dashboard","Customer Dashboard"
"Customer Email","Customer Email"
"Customer Group","Customer Group"
"Customer Groups","Customer Groups"
"Customer Name","Customer Name"
"Customer Notification","Customer Notification"
"Customer Notification Template","Customer Notification Template"
"Customer Orders (%1)","Customer Orders (%1)"
"Data Cleanup","Data Cleanup"
"Data Cleanup Settings","Data Cleanup Settings"
"Date","Date"
"Date Created","Date Created"
"Dates should be separated with "","", "";"" or new line<br> Use <i>dd (example 01)</i> or <i>d (example 1)</i> to add single date for all months and years<br> Use <i>dd.mm (example 01.01)</i> or <i>d.m (example 1.1)</i> to add single date for all years<br> Use <i>dd.mm.yyyy (example 01.01.1999)</i> or <i>d.m.yyyy (example 1.1.1999)</i> to add single date<br> Use <i>01-03</i> or <i>1-3</i> to add date range for all months and years<br> Use <i>01.01-03.01</i> or <i>1.1-3.1</i> to add date range for all years Use <i>01.01.1998-03.01.1999</i> or <i>1.1.1998-3.1.1999</i> to add date range","Dates should be separated with "","", "";"" or new line<br> Use <i>dd (example 01)</i> or <i>d (example 1)</i> to add single date for all months and years<br> Use <i>dd.mm (example 01.01)</i> or <i>d.m (example 1.1)</i> to add single date for all years<br> Use <i>dd.mm.yyyy (example 01.01.1999)</i> or <i>d.m.yyyy (example 1.1.1999)</i> to add single date<br> Use <i>01-03</i> or <i>1-3</i> to add date range for all months and years<br> Use <i>01.01-03.01</i> or <i>1.1-3.1</i> to add date range for all years Use <i>01.01.1998-03.01.1999</i> or <i>1.1.1998-3.1.1999</i> to add date range"
"Day","Day"
"DD","DD"
"Default","Default"
"Default Address","Default Address"
"Default Country","Default Country"
"Default Email Address For Notifications","Default Email Address For Notifications"
"Default Field Value","Default Field Value"
"Default Latitude","Default Latitude"
"Default Longitude","Default Longitude"
"Default Value","Default Value"
"Default value is set in Forms Settings.","Default value is set in Forms Settings."
"Default Zoom","Default Zoom"
"Delete","Delete"
"Delete Category","Delete Category"
"Delete image","Delete image"
"Delete items","Delete items"
"Delete message files older than specified period","Delete message files older than specified period"
"Delete Quick Response","Delete Quick Response"
"Delete records older than specified period.","Delete records older than specified period."
"Delete Result","Delete Result"
"Delete selected form(s)?","Delete selected form(s)?"
"Delete this message?","Delete this message?"
"Description","Description"
"Design","Design"
"Design Settings","Design Settings"
"Did not find URI data type","Did not find URI data type"
"Disable days of the week.","Disable days of the week."
"Disable Future Dates","Disable Future Dates"
"Disable Past Dates","Disable Past Dates"
"Disable Today","Disable Today"
"Disabled","Disabled"
"Disabled Days","Disabled Days"
"Display elements of the field inline instead of the column","Display elements of the field inline instead of the column"
"Display field","Display field"
"Display field in result / notification messages","Display field in result / notification messages"
"Display fieldset name in result / notification messages","Display fieldset name in result / notification messages"
"Display Fieldset Name in Results Overview and Notifications","Display Fieldset Name in Results Overview and Notifications"
"Display Form After Submission","Display Form After Submission"
"Display Form in Admin Menu","Display Form in Admin Menu"
"Display On Redirection","Display On Redirection"
"Display only specified countries in the dropdown. Unselect for all countries.","Display only specified countries in the dropdown. Unselect for all countries."
"Display selected countries at the top of the list.","Display selected countries at the top of the list."
"Display the element in a new row. Use it to fix unwanted automatic element placement","Display the element in a new row. Use it to fix unwanted automatic element placement"
"Display the success text as the session message after redirection.","Display the success text as the session message after redirection."
"Display Vertical","Display Vertical"
"Displayed error message text if regex validation fails","Displayed error message text if regex validation fails"
"Displayed error message text if unique value validation fails","Displayed error message text if unique value validation fails"
"Do Not Store Submissions","Do Not Store Submissions"
"Do not store submissions in the database. Just email them.","Do not store submissions in the database. Just email them."
"Don't hide form after successful submission.","Don't hide form after successful submission."
"Download Files","Download Files"
"Drop-down list of auto-complete choices. Values should be separated with new line","Drop-down list of auto-complete choices. Values should be separated with new line"
"Dropzone allows you to upload multiple files at once and also adds drag and drop functionality","Dropzone allows you to upload multiple files at once and also adds drag and drop functionality"
"Dropzone disabled on this field.","Dropzone disabled on this field."
"Dropzone Text","Dropzone Text"
"Duplicate","Duplicate"
"Duplicate items","Duplicate items"
"Duplicate value has been found: %1","Duplicate value has been found: %1"
"E-mail address is blocked: %1","E-mail address is blocked: %1"
"E-mail address:","E-mail address:"
"Edit","Edit"
"Edit Account Information","Edit Account Information"
"Edit Category","Edit Category"
"Edit Field","Edit Field"
"Edit Fieldset","Edit Fieldset"
"Edit Form","Edit Form"
"Edit Logic","Edit Logic"
"Edit Quick Response","Edit Quick Response"
"Edit Result","Edit Result"
"Email","Email"
"Email Address:","Email Address:"
"Email has been sent.","Email has been sent."
"Email items","Email items"
"Email required","Email required"
"Email Settings","Email Settings"
"Email template for admin notification letters.","Email template for admin notification letters."
"Email template for customer replies that admin gets.","Email template for customer replies that admin gets."
"Email template for customers notification letters.","Email template for customers notification letters."
"Email template for replies from admin that customer gets.","Email template for replies from admin that customer gets."
"Email this message?","Email this message?"
"Email Thumbnail Height","Email Thumbnail Height"
"Email Thumbnail Width","Email Thumbnail Width"
"Enable","Enable"
"Enable accessible date picker for compatibility with screen readers","Enable accessible date picker for compatibility with screen readers"
"Enable Admin Notification","Enable Admin Notification"
"Enable Approval Status Notification","Enable Approval Status Notification"
"Enable Cache","Enable Cache"
"Enable Customer Notification","Enable Customer Notification"
"Enable Dropzone","Enable Dropzone"
"Enable Field","Enable Field"
"Enable Fieldset","Enable Fieldset"
"Enable Form","Enable Form"
"Enable Form Preview","Enable Form Preview"
"Enable Logic","Enable Logic"
"Enable Periodic Cleanup","Enable Periodic Cleanup"
"Enable preview of web-forms in frontend","Enable preview of web-forms in frontend"
"Enable Result Approval Controls","Enable Result Approval Controls"
"Enable Result Statistics","Enable Result Statistics"
"Enabled","Enabled"
"Encrypt Password","Encrypt Password"
"Error","Error"
"Error happened during update role permission: %1","Error happened during update role permission: %1"
"Error on form initializing: %1","Error on form initializing: %1"
"Error removing file","Error removing file"
"Error uploading file","Error uploading file"
"Excel XML","Excel XML"
"Export Form","Export Form"
"Extra large","Extra large"
"Fax","Fax"
"field","field"
"Field id is not specified.","Field id is not specified."
"Field identifier is not specified.","Field identifier is not specified."
"Field is not file field.","Field is not file field."
"Field position in the form relative to field set","Field position in the form relative to field set"
"Field Set","Field Set"
"Field type not defined","Field type not defined"
"Fields","Fields"
"Fieldset","Fieldset"
"Fieldset found and missing name","Fieldset found and missing name"
"Fieldset position in the form","Fieldset position in the form"
"Fieldsets","Fieldsets"
"File Access","File Access"
"File can not be saved to the destination folder.","File can not be saved to the destination folder."
"File not found.","File not found."
"Filename is required.","Filename is required."
"Files","Files"
"Files not found.","Files not found."
"First name","First name"
"Follow Up","Follow Up"
"Form","Form"
"Form ""%1"" successfully imported.","Form ""%1"" successfully imported."
"Form [%1]","Form [%1]"
"Form Background Color","Form Background Color"
"Form Border Color","Form Border Color"
"Form Bottom Margin (px)","Form Bottom Margin (px)"
"Form identifier is not specified.","Form identifier is not specified."
"Form not found.","Form not found."
"Form Scripts","Form Scripts"
"Form Texts","Form Texts"
"Form Width (px)","Form Width (px)"
"Forms","Forms"
"Forms will be submitted without page reloading","Forms will be submitted without page reloading"
"Full name","Full name"
"Future Offset(days)","Future Offset(days)"
"General","General"
"Google API Secret Key","Google API Secret Key"
"Google API Website Key","Google API Website Key"
"Google Maps","Google Maps"
"Google Maps Api Key","Google Maps Api Key"
"Google reCAPTCHA","Google reCAPTCHA"
"Grand Total (Base)","Grand Total (Base)"
"Grid Thumbnail Height","Grid Thumbnail Height"
"Grid Thumbnail Width","Grid Thumbnail Width"
"Guest","Guest"
"hCaptcha","hCaptcha"
"Hidden","Hidden"
"Hidden Field Value","Hidden Field Value"
"Hide Field Label","Hide Field Label"
"Hide Form","Hide Form"
"Hide Label","Hide Label"
"Hours","Hours"
"HTML Content","HTML Content"
"ID","ID"
"If assigned fieldset is not active the field won't be displayed","If assigned fieldset is not active the field won't be displayed"
"If empty default notification email address will be used. You can set multiple addresses comma-separated.","If empty default notification email address will be used. You can set multiple addresses comma-separated."
"Image Resolution","Image Resolution"
"Image Size","Image Size"
"Images","Images"
"Import Form","Import Form"
"In case you have problems receiving notifications this email address should be set to your mailbox used for sending out system emails. It doesn't affect reply-to values(except Gmail web-interface which has issues with it).","In case you have problems receiving notifications this email address should be set to your mailbox used for sending out system emails. It doesn't affect reply-to values(except Gmail web-interface which has issues with it)."
"In order for hCaptcha to work please enter valid site and secret keys. You can get those by visiting <a href='https://www.hcaptcha.com/' target='_blank'>this page</a>","In order for hCaptcha to work please enter valid site and secret keys. You can get those by visiting <a href='https://www.hcaptcha.com/' target='_blank'>this page</a>"
"In order for reCaptcha to work please enter valid site and secret keys. You can get those by visiting <a href='http://www.google.com/recaptcha' target='_blank'>this page</a>","In order for reCaptcha to work please enter valid site and secret keys. You can get those by visiting <a href='http://www.google.com/recaptcha' target='_blank'>this page</a>"
"In order for Turnstile to work please enter valid site and secret keys. You can get those by visiting <a href='https://developers.cloudflare.com/turnstile/get-started/' target='_blank'>this page</a>","In order for Turnstile to work please enter valid site and secret keys. You can get those by visiting <a href='https://developers.cloudflare.com/turnstile/get-started/' target='_blank'>this page</a>"
"Incorrect date:","Incorrect date:"
"Incorrect JSON data","Incorrect JSON data"
"Incorrect match validation data, please check validation rules.","Incorrect match validation data, please check validation rules."
"Incorrect max value, please check validation rules.","Incorrect max value, please check validation rules."
"Incorrect min value, please check validation rules.","Incorrect min value, please check validation rules."
"Incorrect number.","Incorrect number."
"Incorrect serial number.","Incorrect serial number."
"Incorrect value.","Incorrect value."
"Information","Information"
"Initial Country","Initial Country"
"Inline Elements","Inline Elements"
"Input Mask","Input Mask"
"Insert","Insert"
"Invalid e-mail address specified.","Invalid e-mail address specified."
"Invalid format.","Invalid format."
"Invalid number.","Invalid number."
"Invisible Badge Position","Invisible Badge Position"
"Is Read","Is Read"
"Is Replied","Is Replied"
"It is recommended to store passwords encrypted for better security","It is recommended to store passwords encrypted for better security"
"JavaScript that is executed after the successful submission.","JavaScript that is executed after the successful submission."
"JavaScript that is executed when the form is displayed.","JavaScript that is executed when the form is displayed."
"label","label"
"Large","Large"
"Large Screen Start New Row","Large Screen Start New Row"
"Large Screen Width","Large Screen Width"
"Last Modified","Last Modified"
"Last name","Last name"
"Last Result Date","Last Result Date"
"Left","Left"
"Length","Length"
"License serial number for WebForms is missing.","License serial number for WebForms is missing."
"Limit access to the form for certain customer groups.","Limit access to the form for certain customer groups."
"Limit Country Selection","Limit Country Selection"
"Limit Customer Access","Limit Customer Access"
"Link directly to the country.","Link directly to the country."
"Load form asynchronously with the ajax request.","Load form asynchronously with the ajax request."
"Logic","Logic"
"Logic aggregation","Logic aggregation"
"Logic Rule","Logic Rule"
"Logic rule is missing action","Logic rule is missing action"
"Logic rule is missing target","Logic rule is missing target"
"Logic rule is missing trigger field","Logic rule is missing trigger field"
"Logic rule is missing value","Logic rule is missing value"
"Login Redirect URL","Login Redirect URL"
"Lowercase","Lowercase"
"Manage Categories","Manage Categories"
"Manage Forms","Manage Forms"
"Manage Quick Response Categories","Manage Quick Response Categories"
"Manage Quick Responses","Manage Quick Responses"
"Manage Results","Manage Results"
"Mark as Read","Mark as Read"
"Mark As Replied","Mark As Replied"
"Match Value With Another Field","Match Value With Another Field"
"Maximum %1 files in dropzone. Please remove upload or select some files to delete","Maximum %1 files in dropzone. Please remove upload or select some files to delete"
"Maximum %s files in dropzone. Please remove upload or select some files to delete","Maximum %s files in dropzone. Please remove upload or select some files to delete"
"Maximum 255 chars. Meta Description should optimally be between 150-160 characters.","Maximum 255 chars. Meta Description should optimally be between 150-160 characters."
"Maximum allowed options","Maximum allowed options"
"Maximum allowed options error text","Maximum allowed options error text"
"Maximum Files In Dropzone","Maximum Files In Dropzone"
"Maximum Height","Maximum Height"
"Maximum Image Height","Maximum Image Height"
"Maximum Image Width","Maximum Image Width"
"Maximum integer value that can be entered","Maximum integer value that can be entered"
"Maximum Length","Maximum Length"
"Maximum length error message","Maximum length error message"
"Maximum Selected Options","Maximum Selected Options"
"Maximum Selected Options Error Text","Maximum Selected Options Error Text"
"Maximum upload file size in kB","Maximum upload file size in kB"
"Maximum Value","Maximum Value"
"Maximum Width","Maximum Width"
"Medium Screen Start New Row","Medium Screen Start New Row"
"Medium Screen Width","Medium Screen Width"
"Message","Message"
"Messages History (%1)","Messages History (%1)"
"Messages History (%1) / New (%2)","Messages History (%1) / New (%2)"
"Meta Description","Meta Description"
"Meta Keywords","Meta Keywords"
"Meta Title","Meta Title"
"MIME type not found.","MIME type not found."
"Minimum allowed options","Minimum allowed options"
"Minimum allowed options error text","Minimum allowed options error text"
"Minimum integer value that can be entered","Minimum integer value that can be entered"
"Minimum Length","Minimum Length"
"Minimum Length Error Message","Minimum Length Error Message"
"Minimum of different classes of characters in password is %1.","Minimum of different classes of characters in password is %1."
"Minimum Password Length","Minimum Password Length"
"Minimum Score Threshold","Minimum Score Threshold"
"Minimum Selected Options","Minimum Selected Options"
"Minimum Selected Options Error Text","Minimum Selected Options Error Text"
"Minimum Value","Minimum Value"
"Minutes","Minutes"
"Missing field name","Missing field name"
"Missing form name","Missing form name"
"MM","MM"
"Mode","Mode"
"Month","Month"
"Multiple Selection","Multiple Selection"
"Multistep (display fieldsets as steps)","Multistep (display fieldsets as steps)"
"name","name"
"New Category","New Category"
"New Field","New Field"
"New Fieldset","New Fieldset"
"New Form","New Form"
"New Logic","New Logic"
"New Quick Response","New Quick Response"
"New Result","New Result"
"Newsletter Subscription Checkbox Label","Newsletter Subscription Checkbox Label"
"Next","Next"
"No","No"
"No messages yet.","No messages yet."
"No Password","No Password"
"No status","No status"
"Normal","Normal"
"Not Approved","Not Approved"
"Not notified","Not notified"
"Notification Email Address","Notification Email Address"
"Notified","Notified"
"Number of different character classes required in password: Lowercase, Uppercase, Digits, Special Characters.","Number of different character classes required in password: Lowercase, Uppercase, Digits, Special Characters."
"Number Of Required Character Classes","Number Of Required Character Classes"
"Number Of Stars Selected By Default","Number Of Stars Selected By Default"
"Off","Off"
"On","On"
"On Load Script","On Load Script"
"Options","Options"
"Other Results (%1)","Other Results (%1)"
"Overwrite default text &quot;Sign Up for Newsletter&quot;<br>Use <i>^Sign Up for Newsletter</i> to check by default","Overwrite default text &quot;Sign Up for Newsletter&quot;<br>Use <i>^Sign Up for Newsletter</i> to check by default"
"Page","Page"
"Page title","Page title"
"Page url","Page url"
"Password Complexity Check","Password Complexity Check"
"Password Strength","Password Strength"
"Past Offset(days)","Past Offset(days)"
"Pending","Pending"
"Permissions identify which actions customer can perform with results in the dashboard area.","Permissions identify which actions customer can perform with results in the dashboard area."
"Placeholder","Placeholder"
"Placeholder text will appear in the input and disappear on the focus","Placeholder text will appear in the input and disappear on the focus"
"Please activate WebForms license.","Please activate WebForms license."
"Please add at least one fieldset to the form for multi-step functionality.","Please add at least one fieldset to the form for multi-step functionality."
"Please check at least %1 options","Please check at least %1 options"
"Please check not more than %1","Please check not more than %1"
"Please click on the Captcha","Please click on the Captcha"
"Please correct the data sent.","Please correct the data sent."
"Please enter a date from the past.","Please enter a date from the past."
"Please enter a number 1 or greater in this field.","Please enter a number 1 or greater in this field."
"Please enter a valid day (1-%1).","Please enter a valid day (1-%1)."
"Please enter a valid full date.","Please enter a valid full date."
"Please enter a valid year (1900-%1).","Please enter a valid year (1900-%1)."
"Please enter a value between %1 and %2.","Please enter a value between %1 and %2."
"Please enter less or equal than %1 symbols.","Please enter less or equal than %1 symbols."
"Please enter more or equal than %1 symbols.","Please enter more or equal than %1 symbols."
"Please login to view the form.","Please login to view the form."
"Please make sure your input matches the <i>%1</i>.","Please make sure your input matches the <i>%1</i>."
"Please select a file.","Please select a file."
"Please select a region, state or province.","Please select a region, state or province."
"Please select a valid month.","Please select a valid month."
"Please select a valid time","Please select a valid time"
"Please select quick response from the list","Please select quick response from the list"
"Please select which statuses allow the customer to change his results. The result edit permission should be enabled in the Access Settings tab of the form.","Please select which statuses allow the customer to change his results. The result edit permission should be enabled in the Access Settings tab of the form."
"Please use text to set the default date. Example: <i>today</i>, <i>tomorrow</i>, <i>+7 days</i>, <i>next week monday</i>.","Please use text to set the default date. Example: <i>today</i>, <i>tomorrow</i>, <i>+7 days</i>, <i>next week monday</i>."
"Please wait... the upload is in progress.","Please wait... the upload is in progress."
"Position","Position"
"Post processing error: %1","Post processing error: %1"
"Postcode","Postcode"
"Pre-fill data for registered customer with customer's e-mail address","Pre-fill data for registered customer with customer's e-mail address"
"Pre-fill With Customer Data","Pre-fill With Customer Data"
"Pre-fill With The Customer Email","Pre-fill With The Customer Email"
"Preferred Countries","Preferred Countries"
"Preview","Preview"
"Preview Store View","Preview Store View"
"Proportion of the fieldset width for large size screen devices such as PC, Macbook, iMac etc.","Proportion of the fieldset width for large size screen devices such as PC, Macbook, iMac etc."
"Proportion of the fieldset width for medium size screen devices such as iPad, Galaxy Tab, Surface etc.","Proportion of the fieldset width for medium size screen devices such as iPad, Galaxy Tab, Surface etc."
"Proportion of the fieldset width for small size screen devices such as iPhone, Galaxy, Pixel etc.","Proportion of the fieldset width for small size screen devices such as iPhone, Galaxy, Pixel etc."
"Proportion of the form width for large size screen devices such as PC, Macbook, iMac etc.","Proportion of the form width for large size screen devices such as PC, Macbook, iMac etc."
"Proportion of the form width for medium size screen devices such as iPad, Galaxy Tab, Surface etc.","Proportion of the form width for medium size screen devices such as iPad, Galaxy Tab, Surface etc."
"Proportion of the form width for small size screen devices such as iPhone, Galaxy, Pixel etc.","Proportion of the form width for small size screen devices such as iPhone, Galaxy, Pixel etc."
"Purchase Date","Purchase Date"
"Purge all associated customer submissions if the account is deleted","Purge all associated customer submissions if the account is deleted"
"Purge Deleted Customer Data","Purge Deleted Customer Data"
"Purge Period(days)","Purge Period(days)"
"Purge Sent Files Periodically","Purge Sent Files Periodically"
"Quick Responses","Quick Responses"
"Quickresponse identifier is not specified.","Quickresponse identifier is not specified."
"Read Details","Read Details"
"Read more","Read more"
"reCAPTCHA","reCAPTCHA"
"Redirect to specified url after successful submission.","Redirect to specified url after successful submission."
"Redirect URL","Redirect URL"
"Redirecting","Redirecting"
"Referrer","Referrer"
"Referrer Page","Referrer Page"
"Refresh counters via cron job. Enable if you have big numbers of incoming submissions.","Refresh counters via cron job. Enable if you have big numbers of incoming submissions."
"Refresh Statistic via Cron Job","Refresh Statistic via Cron Job"
"Region","Region"
"Regular Expression","Regular Expression"
"Reject","Reject"
"Remove the letters and symbols and try again.","Remove the letters and symbols and try again."
"Replace default Magento contacts page (yourdomain.com/contact/) with the preferred web-form.","Replace default Magento contacts page (yourdomain.com/contact/) with the preferred web-form."
"Replied","Replied"
"Replied by %1 on %2","Replied by %1 on %2"
"Reply","Reply"
"Reply Messages","Reply Messages"
"Reply Notification Template For Admin","Reply Notification Template For Admin"
"Reply Notification Template For Customer","Reply Notification Template For Customer"
"Reply-to Address for the Customer","Reply-to Address for the Customer"
"Reply-to Email Address For Customer","Reply-to Email Address For Customer"
"Required","Required"
"Reset","Reset"
"Resize Uploaded Image","Resize Uploaded Image"
"Responsive Design","Responsive Design"
"Result # %1","Result # %1"
"Result # %1 | %2","Result # %1 | %2"
"Result #%1","Result #%1"
"Result Approval Settings","Result Approval Settings"
"Result Approved Notification Email Template","Result Approved Notification Email Template"
"Result Completed Notification Email Template","Result Completed Notification Email Template"
"Result Date","Result Date"
"Result Information","Result Information"
"Result Label","Result Label"
"Result label will be used on results page. Use it to shorten long question fields","Result label will be used on results page. Use it to shorten long question fields"
"Result NOT Approved Notification Email Template","Result NOT Approved Notification Email Template"
"Result Permissions","Result Permissions"
"Result Statuses Allowed For Customer Edits","Result Statuses Allowed For Customer Edits"
"Result was successfully saved","Result was successfully saved"
"Results","Results"
"Results / Notifications","Results / Notifications"
"Results / Notifications Settings","Results / Notifications Settings"
"Right","Right"
"Risk Score Threshold","Risk Score Threshold"
"Rows","Rows"
"Save","Save"
"Save & Close","Save & Close"
"Save & Duplicate","Save & Duplicate"
"Save & New","Save & New"
"Save and Continue Edit","Save and Continue Edit"
"Save Category","Save Category"
"Save IP addresses of your customers with the submission","Save IP addresses of your customers with the submission"
"Save Quick Response","Save Quick Response"
"Save Reply","Save Reply"
